c,time,vx,vy,V_net,ent,delta_entropy,div,delta_div,curl,delta_curl,theta,delta_theta,area,delta_area
608,0.120063305,0.296046494,0.15351111,0.333480415,202.7926214,-5.875148011,0.210735013,-0.15138616,0.051520556,-0.015744132,0.322157845,-0.024962984,0.165286458,0.064093792
609,0.092116594,0.302108088,0.164508087,0.343994488,206.7896296,3.997008228,0.231729098,0.227907744,0.043563031,-0.086385361,0.275694278,-0.504399532,0.15640625,-0.096401831
610,0.079979658,0.128758653,0.090551706,0.15741157,200.5029385,-6.286691096,0.211583185,-0.251887957,0.051763686,0.102534269,0.312558611,0.460921369,0.162382813,0.074726032
611,0.078880787,0.191916396,0.05627824,0.199997858,204.937601,4.434662434,0.221471186,0.125353721,0.060740389,0.113800881,0.320393102,0.099320647,0.161901042,-0.006107581
612,0.08423996,0.138360231,0.287425694,0.318993861,204.3330259,-0.604575088,0.220739318,-0.008687893,0.054266443,-0.076851248,0.373599048,0.631599849,0.164557292,0.031531948
613,0.080485344,0.318122696,0.25615475,0.408432743,208.5308158,4.19778986,0.231201987,0.129994716,0.045650308,-0.107052223,0.271599107,-1.267310741,0.166419271,0.023134388
614,0.082732916,0.384337466,1.023823553,1.093585824,254.077583,45.54676727,0.284309291,0.641912631,0.042606783,-0.036787355,0,-3.282842192,0.188151042,0.262673817
615,0.077469587,0.197642171,0.094106755,0.218902967,260.1144375,6.036854477,0.290154148,0.075447114,0.04084739,-0.022710763,0,0,0.193763021,0.072441062
616,0.112509251,0.333429268,0.093314457,0.346240761,253.9128818,-6.201555706,0.275442705,-0.130757627,0.045627517,0.042486528,0,0,0.188789063,-0.044209328
617,0.078817606,0.027796507,0.040379015,0.049021532,255.2144784,1.301596578,0.283330612,0.100077981,0.045903801,0.003505362,0,0,0.188476563,-0.00396485
